Melitta Coffee,$10.99,1,,,,SAVE 5.50,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
"Michelina's Entrées, Light Entrées, Zap'ems or Signature",$1.00,1,,,,SAVE UP TO 1.69,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Mini Bombe Donuts Filled with Nutella®,$3.99,1,,,,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Mini Pastries Filled with Nutella®,$10.00,8,,,$1.49,SAVE 1.92 on 8,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Minute Maid Frozen Orange Juice,$3.00,2,,,,SAVE UP TO 1.38 on 2,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Minute Maid Frozen Punches,$0.88,1,,,,SAVE UP TO 31¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Morning Thins,$1.99,1,,,,SAVE UP TO 1.12,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Natrel Fine Filtered Milk,$3.99,1,,,,SAVE UP TO 4.00,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Natur-A Soy Beverage,$1.99,1,,,,SAVE UP TO 1.00,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Naturally Simple Roasted Garlic Bruschetta,$2.99,1,,,,SAVE 50¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Nature Valley Seed Bars,,1,,,,"BUY ANY 4 PARTICIPATING† GENERAL MILLS CEREALS, SNACKS OR YOGURTS, AND GET A 5TH PRODUCT FREE!††",,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Neal Brothers Tortillas,$3.00,1,,,,SAVE UP TO 99¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
"Nestea, Five Alive or Fruitopia Chilled Drinks",$1.00,1,,,,SAVE UP TO 2.39,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
"Nestea, Fruitopia, Five Alive, Minute Maid Lemonade",$1.00,1,,,,SAVE UP TO 79¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Nestlé Coffee-mate or International Delight Coffee Whitener,$4.99,1,,,,SAVE UP TO 60¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Oasis Cocktail or Juice,$5.00,4,,,,SAVE UP TO 2.96 on 4,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Oasis Orange Juice,$3.00,1,,,,SAVE UP TO 1.99,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Old El Paso™ (153 g) And 1 Old el Paso™ Seasoning Mix (35-45 g),,1,,,,SAVE UP TO 1.00,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Ontario Blue Plums,$4.99,1,,,,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Ontario Mini Yellow Watermelons,$3.99,1,,,,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Ontario Nectarines,$4.99,1,,,,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
